threads,consistent_time,processor1,processor2,processor3,coverage_average,predict
10,31.6598,1,1,1,1865539274.4166667,2.3866989317834015
10,31.6598,1,1,2,1865539274.4166667,1.7747121539962105
10,31.6598,1,2,1,1865539274.4166667,2.274312888812264
10,31.6598,2,1,1,1865539274.4166667,2.27441091954023
11,31.6598,1,1,1,1865539274.4166667,2.343642662560701
11,31.6598,1,1,2,1865539274.4166667,1.341141884049376
11,31.6598,1,2,1,1865539274.4166667,1.81916281207803
11,31.6598,2,1,1,1865539274.4166667,1.8179406495475219
12,31.6598,1,1,1,1865539274.4166667,2.3598714957624907
13,31.6598,1,1,1,1865539274.4166667,2.3581840527354663
15,31.6598,1,1,1,1865539274.4166667,2.3546762857461605
16,31.6598,1,1,1,1865539274.4166667,2.3453788484902365
18,31.6598,1,1,1,1865539274.4166667,2.3277381976457785
19,31.6598,1,1,1,1865539274.4166667,2.3124534365641662
20,31.6598,1,1,1,1865539274.4166667,2.2938227239135793
3,31.6598,1,1,1,1865539274.4166667,1.778770359633007
3,31.6598,1,1,2,1865539274.4166667,1.779760298614859
3,31.6598,1,1,3,1865539274.4166667,1.8656334708308782
3,31.6598,1,1,4,1865539274.4166667,1.7622161984648694
3,31.6598,1,1,5,1865539274.4166667,1.8707153788429383
3,31.6598,1,1,6,1865539274.4166667,1.3864229536338
3,31.6598,1,1,7,1865539274.4166667,0.9116925451529673
3,31.6598,1,2,1,1865539274.4166667,2.3019784342666854
3,31.6598,1,2,2,1865539274.4166667,2.0643566938786155
3,31.6598,1,2,3,1865539274.4166667,2.071054766203522
3,31.6598,1,3,1,1865539274.4166667,2.2701543800775847
3,31.6598,1,3,2,1865539274.4166667,2.1088959200666113
3,31.6598,1,4,1,1865539274.4166667,2.193433514157643
3,31.6598,1,5,1,1865539274.4166667,2.1723927348579974
3,31.6598,1,6,1,1865539274.4166667,2.1607982582463707
3,31.6598,1,7,1,1865539274.4166667,1.0427442197483698
3,31.6598,2,1,1,1865539274.4166667,2.311170484575066
3,31.6598,2,1,2,1865539274.4166667,2.1721244554217694
3,31.6598,2,1,3,1865539274.4166667,2.102705108024999
3,31.6598,2,2,1,1865539274.4166667,1.3665668137123717
3,31.6598,2,3,1,1865539274.4166667,1.4472919104739614
3,31.6598,3,1,1,1865539274.4166667,2.2583332738906208
3,31.6598,3,1,2,1865539274.4166667,2.1764398553613904
3,31.6598,3,2,1,1865539274.4166667,1.5255235286748197
3,31.6598,4,1,1,1865539274.4166667,2.2807846640395932
3,31.6598,5,1,1,1865539274.4166667,2.216995203249186
3,31.6598,6,1,1,1865539274.4166667,2.187870578967009
3,31.6598,7,1,1,1865539274.4166667,1.3190154399940006
4,31.6598,1,1,1,1865539274.4166667,2.060339834573059
4,31.6598,1,1,2,1865539274.4166667,1.8044810231916601
4,31.6598,1,1,3,1865539274.4166667,2.1037949617580023
4,31.6598,1,1,4,1865539274.4166667,1.8064784858807352
4,31.6598,1,1,5,1865539274.4166667,1.871323529411765
4,31.6598,1,2,1,1865539274.4166667,2.356428863830896
4,31.6598,1,2,2,1865539274.4166667,2.1381788220356723
4,31.6598,1,3,1,1865539274.4166667,2.2631439743232327
4,31.6598,1,4,1,1865539274.4166667,2.2231132207960007
4,31.6598,1,5,1,1865539274.4166667,2.197956151677983
4,31.6598,2,1,1,1865539274.4166667,2.3811343175818473
4,31.6598,2,1,2,1865539274.4166667,2.1625398733615206
4,31.6598,2,2,1,1865539274.4166667,1.472925632138454
4,31.6598,3,1,1,1865539274.4166667,2.2929920621125213
4,31.6598,4,1,1,1865539274.4166667,2.256820044908579
4,31.6598,5,1,1,1865539274.4166667,2.2150873166909215
6,31.6598,1,1,1,1865539274.4166667,2.376469351908844
6,31.6598,1,1,2,1865539274.4166667,2.089631639044545
6,31.6598,1,1,3,1865539274.4166667,1.9095405252174333
6,31.6598,1,2,1,1865539274.4166667,2.312943359560494
6,31.6598,1,3,1,1865539274.4166667,2.2423542743820386
6,31.6598,2,1,1,1865539274.4166667,2.3113054651111855
6,31.6598,3,1,1,1865539274.4166667,2.253895932852556
7,31.6598,1,1,1,1865539274.4166667,2.4335721313491576
7,31.6598,1,1,2,1865539274.4166667,1.8733387770558927
7,31.6598,1,1,3,1865539274.4166667,1.094869711064617
7,31.6598,1,2,1,1865539274.4166667,2.322887853552955
7,31.6598,1,3,1,1865539274.4166667,1.623238190944468
7,31.6598,2,1,1,1865539274.4166667,2.2927927927927927
7,31.6598,3,1,1,1865539274.4166667,1.927877677032779
8,31.6598,1,1,1,1865539274.4166667,2.4214551767918193
8,31.6598,1,1,2,1865539274.4166667,2.0006951290412274
8,31.6598,1,2,1,1865539274.4166667,2.3107825033391967
8,31.6598,2,1,1,1865539274.4166667,2.3245763458545037
9,31.6598,1,1,1,1865539274.4166667,2.4068023383988506
9,31.6598,1,1,2,1865539274.4166667,1.8703175306453996
9,31.6598,1,2,1,1865539274.4166667,2.3001554757995377
9,31.6598,2,1,1,1865539274.4166667,2.2985690119575715
14,31.6598,1,1,2,1865539274.4166667,1.2018890200708383
14,31.6598,1,1,3,1865539274.4166667,0.5007671307412223
14,31.6598,1,1,4,1865539274.4166667,0.1273416163558187
14,31.6598,1,1,5,1865539274.4166667,0.6172680161122398
14,31.6598,1,1,6,1865539274.4166667,0.4781190442391275
14,31.6598,1,1,7,1865539274.4166667,0.34450272034820456
14,31.6598,1,1,8,1865539274.4166667,0.32506696976324173
14,31.6598,1,1,9,1865539274.4166667,0.3033971883355215
14,31.6598,1,2,2,1865539274.4166667,0.270230499707661
14,31.6598,1,2,3,1865539274.4166667,0.18275341755667643
14,31.6598,1,2,4,1865539274.4166667,0.500338987336571
14,31.6598,1,2,5,1865539274.4166667,0.48411330708360417
14,31.6598,1,3,2,1865539274.4166667,0.1145350448339159
14,31.6598,1,3,3,1865539274.4166667,0.6216946489936181
14,31.6598,1,4,2,1865539274.4166667,0.7348491530380611
14,31.6598,1,5,2,1865539274.4166667,0.766167420496923
14,31.6598,2,1,2,1865539274.4166667,0.2928962496831409
14,31.6598,2,1,3,1865539274.4166667,0.8524838239768648
14,31.6598,2,1,4,1865539274.4166667,0.5759049732600866
14,31.6598,2,1,5,1865539274.4166667,0.4770024889863859
14,31.6598,2,2,2,1865539274.4166667,0.9983098627078775
14,31.6598,3,1,2,1865539274.4166667,0.11105588292966287
14,31.6598,3,1,3,1865539274.4166667,0.5610316242375699
14,31.6598,4,1,2,1865539274.4166667,0.5672355780428636
14,31.6598,5,1,2,1865539274.4166667,0.44013635137727686
1,31.6598,2,1,1,1865539274.4166667,1.3157100765078191
1,31.6598,2,2,2,1865539274.4166667,1.8227447277668072
1,31.6598,3,1,1,1865539274.4166667,1.661347452601972
1,31.6598,3,2,1,1865539274.4166667,1.278068433205768
1,31.6598,3,2,2,1865539274.4166667,1.872718238710975
1,31.6598,4,1,1,1865539274.4166667,1.945709088227341
1,31.6598,4,2,1,1865539274.4166667,1.4459831011646496
1,31.6598,4,2,2,1865539274.4166667,1.8972392178483037
1,31.6598,4,3,1,1865539274.4166667,1.4579624316719701
1,31.6598,4,3,2,1865539274.4166667,1.768071750882366
1,31.6598,5,1,1,1865539274.4166667,2.053710779130638
1,31.6598,5,2,1,1865539274.4166667,1.4757199190819341
1,31.6598,5,2,2,1865539274.4166667,1.9379081966811735
1,31.6598,5,3,1,1865539274.4166667,1.5275108074725952
1,31.6598,5,4,1,1865539274.4166667,1.5811242733574384
1,31.6598,6,1,1,1865539274.4166667,2.197895116837677
1,31.6598,6,2,1,1865539274.4166667,1.4179225467232168
1,31.6598,6,2,2,1865539274.4166667,1.7120531248141118
1,31.6598,6,3,1,1865539274.4166667,1.5118932212697882
1,31.6598,6,4,1,1865539274.4166667,1.5688857174005688
1,31.6598,7,1,1,1865539274.4166667,2.244436725058309
1,31.6598,7,2,1,1865539274.4166667,1.4402798691638954
1,31.6598,7,3,1,1865539274.4166667,1.5009908688355158
1,31.6598,8,1,1,1865539274.4166667,2.227571115973742
1,31.6598,8,2,1,1865539274.4166667,1.57557691063546
1,31.6598,8,3,1,1865539274.4166667,1.441814712432201
1,31.6598,9,1,1,1865539274.4166667,2.200859216416873
1,31.6598,9,2,1,1865539274.4166667,1.5621586148706992
2,31.6598,2,1,1,1865539274.4166667,1.9503837955718737
2,31.6598,2,2,2,1865539274.4166667,2.1740635193133047
2,31.6598,3,1,1,1865539274.4166667,2.2439594865652177
2,31.6598,3,2,1,1865539274.4166667,1.4344849459686007
2,31.6598,3,2,2,1865539274.4166667,1.633548320520097
2,31.6598,4,1,1,1865539274.4166667,2.321576276655032
2,31.6598,4,2,1,1865539274.4166667,1.5333627157061698
2,31.6598,4,2,2,1865539274.4166667,1.618094561512003
2,31.6598,4,3,1,1865539274.4166667,1.242989003050564
2,31.6598,4,3,2,1865539274.4166667,1.8933814954578891
2,31.6598,5,1,1,1865539274.4166667,2.2036932628926618
2,31.6598,5,2,1,1865539274.4166667,1.5220691810293023
2,31.6598,5,2,2,1865539274.4166667,1.5659989118068953
2,31.6598,5,3,1,1865539274.4166667,1.2581786100337
2,31.6598,5,4,1,1865539274.4166667,1.3051820093168982
2,31.6598,6,1,1,1865539274.4166667,2.1640180176485466
2,31.6598,6,2,1,1865539274.4166667,1.2233165767011975
2,31.6598,6,2,2,1865539274.4166667,1.845514427280676
2,31.6598,6,3,1,1865539274.4166667,1.3426490981802452
2,31.6598,6,4,1,1865539274.4166667,1.390307309918408
2,31.6598,7,1,1,1865539274.4166667,2.21744550904914
2,31.6598,7,2,1,1865539274.4166667,1.2489270047653613
2,31.6598,7,3,1,1865539274.4166667,1.4283948277884555
2,31.6598,8,1,1,1865539274.4166667,2.2219898374554337
2,31.6598,8,2,1,1865539274.4166667,1.2694488327893567
2,31.6598,8,3,1,1865539274.4166667,1.370049981608499
2,31.6598,9,1,1,1865539274.4166667,2.1722734913719166
2,31.6598,9,2,1,1865539274.4166667,1.2968790322910992
5,31.6598,1,1,2,1865539274.4166667,2.015353962302585
5,31.6598,1,1,3,1865539274.4166667,1.7372680929987543
5,31.6598,1,1,4,1865539274.4166667,1.7157179398248505
5,31.6598,1,1,5,1865539274.4166667,1.0075519134378232
5,31.6598,1,1,6,1865539274.4166667,0.98427818625546
5,31.6598,1,1,7,1865539274.4166667,0.7380440078420585
5,31.6598,1,1,8,1865539274.4166667,0.741495929475469
5,31.6598,1,1,9,1865539274.4166667,0.7244225290880594
5,31.6598,1,2,2,1865539274.4166667,2.0997904175730886
5,31.6598,1,2,3,1865539274.4166667,1.3501556569576527
5,31.6598,1,2,4,1865539274.4166667,1.159559467170635
5,31.6598,1,2,5,1865539274.4166667,1.3043055538389918
5,31.6598,1,2,6,1865539274.4166667,0.5897986177089737
5,31.6598,1,2,7,1865539274.4166667,0.6139332309458432
5,31.6598,1,3,2,1865539274.4166667,1.523790730134283
5,31.6598,1,3,3,1865539274.4166667,1.4491799676839066
5,31.6598,1,3,4,1865539274.4166667,0.7552973733807286
5,31.6598,1,3,5,1865539274.4166667,0.7106624735969042
5,31.6598,1,4,2,1865539274.4166667,1.433971664613378
5,31.6598,1,4,3,1865539274.4166667,0.9049147528332357
5,31.6598,1,5,2,1865539274.4166667,1.3923066436226588
5,31.6598,1,5,3,1865539274.4166667,0.8805689523777737
5,31.6598,1,6,2,1865539274.4166667,0.8908667293222503
5,31.6598,1,7,2,1865539274.4166667,0.8796221435021185
5,31.6598,2,1,2,1865539274.4166667,2.115109163304027
5,31.6598,2,1,3,1865539274.4166667,1.6039699266404572
5,31.6598,2,1,4,1865539274.4166667,1.2451987178226585
5,31.6598,2,1,5,1865539274.4166667,1.251766361828397
5,31.6598,2,1,6,1865539274.4166667,0.6693998198571544
5,31.6598,2,1,7,1865539274.4166667,0.6444205165573967
5,31.6598,2,2,2,1865539274.4166667,1.5400308397258475
5,31.6598,2,2,3,1865539274.4166667,0.9434015113590313
5,31.6598,2,3,2,1865539274.4166667,1.0351177184108915
5,31.6598,3,1,2,1865539274.4166667,1.2357889231081498
5,31.6598,3,1,3,1865539274.4166667,1.3332912202681761
5,31.6598,3,1,4,1865539274.4166667,0.8951664663886336
5,31.6598,3,1,5,1865539274.4166667,0.8239589839683531
5,31.6598,3,2,2,1865539274.4166667,0.9926693756741165
5,31.6598,4,1,2,1865539274.4166667,0.234987534300158
5,31.6598,4,1,3,1865539274.4166667,0.8978294283461798
5,31.6598,5,1,2,1865539274.4166667,1.3962671888368483
5,31.6598,5,1,3,1865539274.4166667,0.7234128117538188
5,31.6598,6,1,2,1865539274.4166667,0.8079633122111437
5,31.6598,7,1,2,1865539274.4166667,0.6423442670513453
10,23.3787,1,2,9,15608539.340329835,0.9146202628212401
10,23.3787,1,2,9,15608539.340329835,0.9146202628212401
10,23.3787,1,2,9,15608539.340329835,0.9146202628212401
10,23.3787,1,2,9,15608539.340329835,0.9146202628212401
11,23.3787,1,2,9,15608539.340329835,0.9146202628212401
11,23.3787,1,2,9,15608539.340329835,0.9146202628212401
11,23.3787,1,2,9,15608539.340329835,0.9146202628212401
11,23.3787,1,2,9,15608539.340329835,0.9146202628212401
12,23.3787,1,2,9,15608539.340329835,0.9146202628212401
13,23.3787,1,2,9,15608539.340329835,0.9146202628212401
14,23.3787,1,2,9,15608539.340329835,0.9146202628212401
15,23.3787,1,2,9,15608539.340329835,0.9146202628212401
16,23.3787,1,2,9,15608539.340329835,0.9146202628212401
17,23.3787,1,2,9,15608539.340329835,0.9146202628212401
18,23.3787,1,2,9,15608539.340329835,0.9146202628212401
19,23.3787,1,2,9,15608539.340329835,0.9146202628212401
20,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
2,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
3,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
4,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
5,23.3787,1,2,9,15608539.340329835,0.9146202628212401
6,23.3787,1,2,9,15608539.340329835,0.9146202628212401
6,23.3787,1,2,9,15608539.340329835,0.9146202628212401
6,23.3787,1,2,9,15608539.340329835,0.9146202628212401
6,23.3787,1,2,9,15608539.340329835,0.9146202628212401
6,23.3787,1,2,9,15608539.340329835,0.9146202628212401
6,23.3787,1,2,9,15608539.340329835,0.9146202628212401
6,23.3787,1,2,9,15608539.340329835,0.9146202628212401
7,23.3787,1,2,9,15608539.340329835,0.9146202628212401
7,23.3787,1,2,9,15608539.340329835,0.9146202628212401
7,23.3787,1,2,9,15608539.340329835,0.9146202628212401
7,23.3787,1,2,9,15608539.340329835,0.9146202628212401
7,23.3787,1,2,9,15608539.340329835,0.9146202628212401
7,23.3787,1,2,9,15608539.340329835,0.9146202628212401
7,23.3787,1,2,9,15608539.340329835,0.9146202628212401
8,23.3787,1,2,9,15608539.340329835,0.9146202628212401
8,23.3787,1,2,9,15608539.340329835,0.9146202628212401
8,23.3787,1,2,9,15608539.340329835,0.9146202628212401
8,23.3787,1,2,9,15608539.340329835,0.9146202628212401
9,23.3787,1,2,9,15608539.340329835,0.9146202628212401
9,23.3787,1,2,9,15608539.340329835,0.9146202628212401
9,23.3787,1,2,9,15608539.340329835,0.9146202628212401
9,23.3787,1,2,9,15608539.340329835,0.9146202628212401
1,23.3787,1,1,1,15608539.340329835,1.0
1,23.3787,1,1,2,15608539.340329835,0.9961099275671069
1,23.3787,1,1,3,15608539.340329835,1.0000598871554882
1,23.3787,1,1,4,15608539.340329835,0.9812222730535001
1,23.3787,1,1,5,15608539.340329835,0.9999615049017091
1,23.3787,1,1,6,15608539.340329835,0.9995809906578018
1,23.3787,1,1,7,15608539.340329835,0.97581611229605
1,23.3787,1,1,8,15608539.340329835,0.9759709112768897
1,23.3787,1,1,9,15608539.340329835,0.9997434219810388
1,23.3787,1,2,1,15608539.340329835,1.0001368954674765
1,23.3787,1,2,2,15608539.340329835,0.9960292946033341
1,23.3787,1,2,3,15608539.340329835,0.9758935056478072
1,23.3787,1,2,4,15608539.340329835,0.9758242583865865
1,23.3787,1,2,5,15608539.340329835,0.9809793554884189
1,23.3787,1,2,6,15608539.340329835,0.9172686004402192
1,23.3787,1,2,7,15608539.340329835,0.9166248451296206
1,23.3787,1,2,8,15608539.340329835,0.9170742997014831
1,23.3787,1,2,9,15608539.340329835,0.9146202628212401
1,23.3787,1,3,1,15608539.340329835,1.0001368954674765
1,23.3787,1,3,2,15608539.340329835,0.9999486738608805
1,23.3787,1,3,3,15608539.340329835,0.9958383738562981
1,23.3787,1,3,4,15608539.340329835,0.87044924827427
1,23.3787,1,3,5,15608539.340329835,0.9168585065120967
1,23.3787,1,3,6,15608539.340329835,0.8717963060331807
1,23.3787,1,3,7,15608539.340329835,0.8172198996070973
1,23.3787,1,3,8,15608539.340329835,0.6881107395982952
1,23.3787,1,4,1,15608539.340329835,0.9810740378603171
1,23.3787,1,4,2,15608539.340329835,0.999841761324757
1,23.3787,1,4,3,15608539.340329835,0.9168621022330637
1,23.3787,1,4,4,15608539.340329835,0.8718938453104196
1,23.3787,1,4,5,15608539.340329835,0.8714291039212763
1,23.3787,1,4,6,15608539.340329835,0.6967692903764194
1,23.3787,1,5,1,15608539.340329835,0.975873137786089
1,23.3787,1,5,2,15608539.340329835,0.9747054458128694
1,23.3787,1,5,3,15608539.340329835,0.9168656979822342
1,23.3787,1,5,4,15608539.340329835,0.9146596244131455
1,23.3787,1,5,5,15608539.340329835,0.6791060167258762
1,23.3787,1,6,1,15608539.340329835,0.9810493363491016
1,23.3787,1,6,2,15608539.340329835,0.9147025681956898
1,23.3787,1,6,3,15608539.340329835,0.8756887349002714
1,23.3787,1,6,4,15608539.340329835,0.6732178029648571
1,23.3787,1,7,1,15608539.340329835,0.9810287527065813
1,23.3787,1,7,2,15608539.340329835,0.9166643794527154
1,23.3787,1,7,3,15608539.340329835,0.8105249290144536
1,23.3787,1,8,1,15608539.340329835,0.9958765521501138
1,23.3787,1,8,2,15608539.340329835,0.8705918715414578
1,23.3787,1,8,3,15608539.340329835,0.7012817551616667
1,23.3787,1,9,1,15608539.340329835,0.9809793554884189
1,23.3787,1,9,2,15608539.340329835,0.9170671049586355
1,23.3787,2,1,1,15608539.340329835,1.9517544225808334
1,23.3787,2,1,2,15608539.340329835,1.9994611930724822
1,23.3787,2,1,3,15608539.340329835,1.9913204943655614
1,23.3787,2,1,4,15608539.340329835,1.9510214640985413
1,23.3787,2,1,5,15608539.340329835,1.9588517708568984
1,23.3787,2,1,6,15608539.340329835,1.833767354302298
1,23.3787,2,1,7,15608539.340329835,1.8276031894934333
1,23.3787,2,1,8,15608539.340329835,1.8263895941564783
1,23.3787,2,1,9,15608539.340329835,1.827546042963009
1,23.3787,2,2,1,15608539.340329835,1.999307301554723
1,23.3787,2,2,2,15608539.340329835,1.9612016173682532
1,23.3787,2,2,3,15608539.340329835,1.8272032388157686
1,23.3787,2,2,4,15608539.340329835,1.8296198905923506
1,23.3787,2,2,5,15608539.340329835,1.732294491619615
1,23.3787,2,2,6,15608539.340329835,1.3854701259911582
1,23.3787,2,3,1,15608539.340329835,1.9992560096462197
1,23.3787,2,3,2,15608539.340329835,1.7363988146079514
1,23.3787,2,3,3,15608539.340329835,1.737418252080856
1,23.3787,2,3,4,15608539.340329835,1.4112374065108868
1,23.3787,2,4,1,15608539.340329835,1.951102876743196
1,23.3787,2,4,2,15608539.340329835,1.8331203199121808
1,23.3787,2,4,3,15608539.340329835,1.29124138388123
1,23.3787,2,5,1,15608539.340329835,1.9966947654308334
1,23.3787,2,5,2,15608539.340329835,1.8297058063910214
1,23.3787,2,6,1,15608539.340329835,1.8321578031692294
1,23.3787,2,6,2,15608539.340329835,1.2853349313863476
1,23.3787,2,7,1,15608539.340329835,1.8278318113585188
1,23.3787,2,8,1,15608539.340329835,1.7395642662618866
1,23.3787,2,9,1,15608539.340329835,1.8255053995174402
1,23.3787,3,1,1,15608539.340329835,2.9975382406113367
1,23.3787,3,1,2,15608539.340329835,2.9249333783733062
1,23.3787,3,1,3,15608539.340329835,2.986014253965821
1,23.3787,3,1,4,15608539.340329835,2.7418227450244523
1,23.3787,3,1,5,15608539.340329835,2.6120868807400948
1,23.3787,3,1,6,15608539.340329835,2.740858412370892
1,23.3787,3,1,7,15608539.340329835,2.3740746382330538
1,23.3787,3,1,8,15608539.340329835,1.7703893861602071
1,23.3787,3,2,1,15608539.340329835,2.9961168781237983
1,23.3787,3,2,2,15608539.340329835,2.742530353686433
1,23.3787,3,2,3,15608539.340329835,2.604549860184267
1,23.3787,3,2,4,15608539.340329835,1.9721371631026192
1,23.3787,3,3,1,15608539.340329835,2.9959249054911257
1,23.3787,3,3,2,15608539.340329835,2.612904307396562
1,23.3787,3,4,1,15608539.340329835,2.7430452076171257
1,23.3787,3,4,2,15608539.340329835,2.0423608138447964
1,23.3787,3,5,1,15608539.340329835,2.740762016412661
1,23.3787,3,6,1,15608539.340329835,2.608967849211574
1,23.3787,3,7,1,15608539.340329835,2.3936173480357525
1,23.3787,3,8,1,15608539.340329835,1.9161455302477683
1,23.3787,4,1,1,15608539.340329835,3.996017434407315
1,23.3787,4,1,2,15608539.340329835,3.995675952828576
1,23.3787,4,1,3,15608539.340329835,3.6622491658442593
1,23.3787,4,1,4,15608539.340329835,3.6633394966937223
1,23.3787,4,1,5,15608539.340329835,3.4614086258716923
1,23.3787,4,1,6,15608539.340329835,2.6189046589521556
1,23.3787,4,2,1,15608539.340329835,3.993560069011462
1,23.3787,4,2,2,15608539.340329835,3.4777311674401994
1,23.3787,4,2,3,15608539.340329835,2.6633894597735197
1,23.3787,4,3,1,15608539.340329835,3.664143313898815
